Crop Name,Column Name,Correlation
RICE,MAIZE,0.40627427585888565
RICE,SUNFLOWER,0.3480879131033037
RICE,SUGARCANE,0.3457399926454345
RICE,FRUITS,0.31496551226351704
RICE,FINGER MILLET,0.3032308653813967
RICE,CASTOR,-0.21281022440683883
RICE,SOYABEAN,-0.20978318500669496
RICE,VEGETABLES,0.1857076579302348
RICE,RABI SORGHUM,0.16859048767419843
RICE,LINSEED,-0.14519141156588958
RICE,POTATOES,0.1127112661001869
RICE,OILSEEDS,0.11178130205325554
RICE,PEARL MILLET,0.10373691380416818
RICE,CHICKPEA,-0.08056526253971914
RICE,MINOR PULSES,0.07733849813120681
RICE,FODDER,-0.06290562402384428
RICE,WHEAT,-0.05796693898801226
RICE,SESAMUM,0.05666151555813564
RICE,ONION,-0.05064422522242454
RICE,PIGEONPEA,0.04981522309727807
RICE,BARLEY,-0.04540039849449927
RICE,GROUNDNUT,0.04539090003104247
RICE,SORGHUM,0.0448310094437462
RICE,COTTON,0.04315487638656594
RICE,RAPESEED AND MUSTARD,-0.030895485864248083
RICE,KHARIF SORGHUM,-0.012837211403338496
RICE,SAFFLOWER,-0.01223359046438085
WHEAT,RAPESEED AND MUSTARD,0.6977342854948302
WHEAT,BARLEY,0.5771324944246937
WHEAT,FRUITS,-0.4556217210064766
WHEAT,FINGER MILLET,-0.44633267335535565
WHEAT,RABI SORGHUM,-0.2959895914789847
WHEAT,CHICKPEA,0.28587000659360634
WHEAT,MAIZE,-0.23179945645013356
WHEAT,PEARL MILLET,0.2290556968638589
WHEAT,PIGEONPEA,0.20688468228512183
WHEAT,LINSEED,0.17368274996583868
WHEAT,MINOR PULSES,0.15129002084182708
WHEAT,POTATOES,0.1501214318478444
WHEAT,FODDER,0.13938819704057157
WHEAT,SAFFLOWER,-0.13886604459444465
WHEAT,SUNFLOWER,-0.1039623090218029
WHEAT,GROUNDNUT,-0.08280489275486265
WHEAT,SORGHUM,-0.07236522223339904
WHEAT,ONION,-0.06050256603934685
WHEAT,RICE,-0.05796693898801226
WHEAT,SUGARCANE,0.027975777434669342
WHEAT,CASTOR,0.019075068516001444
WHEAT,SESAMUM,0.01697417054472414
WHEAT,KHARIF SORGHUM,-0.013901798403441601
WHEAT,COTTON,-0.007521129924075214
WHEAT,SOYABEAN,-0.0024661516955793846
WHEAT,VEGETABLES,-0.0023050447259555856
WHEAT,OILSEEDS,0.0006147731000359333
KHARIF SORGHUM,SORGHUM,0.8388545770224404
KHARIF SORGHUM,PEARL MILLET,0.42887988596802334
KHARIF SORGHUM,RABI SORGHUM,0.39428171080273267
KHARIF SORGHUM,SOYABEAN,0.32555330127135207
KHARIF SORGHUM,CHICKPEA,0.30116132998802425
KHARIF SORGHUM,GROUNDNUT,0.26336342209820274
KHARIF SORGHUM,COTTON,0.21820639852803211
KHARIF SORGHUM,MAIZE,0.19186102617421041
KHARIF SORGHUM,ONION,0.18317346124044517
KHARIF SORGHUM,SUGARCANE,0.166425622655089
KHARIF SORGHUM,OILSEEDS,0.14831293798421277
KHARIF SORGHUM,VEGETABLES,-0.1361069334472528
KHARIF SORGHUM,SAFFLOWER,0.13353973610360245
KHARIF SORGHUM,FINGER MILLET,0.12221893487157691
KHARIF SORGHUM,CASTOR,0.09390228359521278
KHARIF SORGHUM,POTATOES,-0.08997997005465944
KHARIF SORGHUM,LINSEED,0.08928706516351011
KHARIF SORGHUM,RAPESEED AND MUSTARD,-0.05586306407493706
KHARIF SORGHUM,FRUITS,0.05429140003927759
KHARIF SORGHUM,MINOR PULSES,-0.051056228482704295
KHARIF SORGHUM,FODDER,-0.04723711577859156
KHARIF SORGHUM,PIGEONPEA,0.04452742293533929
KHARIF SORGHUM,SUNFLOWER,0.04422672766748163
KHARIF SORGHUM,SESAMUM,0.02180757008206375
KHARIF SORGHUM,WHEAT,-0.013901798403441601
KHARIF SORGHUM,RICE,-0.012837211403338496
KHARIF SORGHUM,BARLEY,-0.010539110886013716
RABI SORGHUM,SORGHUM,0.6096078096554209
